
job start at December 7th 2019, 06:00:00 complete December 7th 2019, 06:05:43, update:1728, add:0
job start at December 7th 2019, 07:00:00 complete December 7th 2019, 07:04:47, update:3, add:0
job start at December 7th 2019, 08:00:00 complete December 7th 2019, 08:04:58, update:4, add:0
job start at December 7th 2019, 09:00:00 complete December 7th 2019, 09:05:45, update:4, add:0
job start at December 7th 2019, 10:00:00 complete December 7th 2019, 10:04:52, update:1, add:0
job start at December 7th 2019, 11:00:00 complete December 7th 2019, 11:04:36, update:0, add:0
job start at December 8th 2019, 12:00:00 complete December 8th 2019, 12:04:34, update:4, add:0
job start at December 8th 2019, 01:00:00 complete December 8th 2019, 01:04:34, update:10, add:1
job start at December 8th 2019, 02:00:00 complete December 8th 2019, 02:04:38, update:0, add:0
errwhen get new flatError: get db project error
job start at December 8th 2019, 11:00:00 complete December 8th 2019, 11:04:47, update:4, add:0
job start at December 8th 2019, 12:00:00 complete December 8th 2019, 12:05:19, update:3, add:0
job start at December 8th 2019, 01:00:00 complete December 8th 2019, 01:04:46, update:13, add:0
job start at December 8th 2019, 02:00:00 complete December 8th 2019, 02:04:52, update:17, add:0
job start at December 8th 2019, 03:00:00 complete December 8th 2019, 03:05:00, update:5, add:0
job start at December 8th 2019, 04:00:00 complete December 8th 2019, 04:04:47, update:12, add:0
job start at December 8th 2019, 05:00:00 complete December 8th 2019, 05:04:35, update:9, add:0
job start at December 8th 2019, 06:00:00 complete December 8th 2019, 06:04:41, update:8, add:0
job start at December 8th 2019, 07:00:00 complete December 8th 2019, 07:04:37, update:9, add:0
job start at December 8th 2019, 08:00:00 complete December 8th 2019, 08:09:35, update:5, add:0
job start at December 8th 2019, 09:00:00 complete December 8th 2019, 09:05:00, update:5, add:0
job start at December 8th 2019, 10:00:00 complete December 8th 2019, 10:04:57, update:5, add:0
job start at December 13th 2019, 12:00:00 complete December 13th 2019, 12:05:50, update:1499, add:2
job start at December 14th 2019, 09:00:00 complete December 14th 2019, 09:05:26, update:176, add:1
job start at December 15th 2019, 12:00:00 complete December 15th 2019, 12:04:32, update:8, add:1
job start at December 15th 2019, 03:00:00 complete December 15th 2019, 03:04:24, update:14, add:1
job start at December 15th 2019, 06:00:00 complete December 15th 2019, 06:04:27, update:0, add:0
job start at December 15th 2019, 09:00:00 complete December 15th 2019, 09:04:25, update:2, add:0
job start at December 15th 2019, 12:00:00 complete December 15th 2019, 12:04:26, update:9, add:0
job start at December 15th 2019, 03:00:02 complete December 15th 2019, 03:04:30, update:28, add:0
job start at December 15th 2019, 06:00:00 complete December 15th 2019, 06:04:45, update:16, add:0
errwhen get new flatError: get db project error
errwhen get new flatError: get db project error
errwhen get new flatError: get db project error
errwhen get new flatError: get db project error
job start at December 17th 2019, 09:00:00 complete December 17th 2019, 09:04:51, update:1029, add:1
job start at December 19th 2019, 03:00:00 complete December 19th 2019, 03:04:30, update:103, add:1
job start at December 19th 2019, 06:00:00 complete December 19th 2019, 06:04:21, update:0, add:0
job start at December 19th 2019, 09:00:00 complete December 19th 2019, 09:04:16, update:0, add:0
job start at December 19th 2019, 12:00:00 complete December 19th 2019, 12:04:29, update:13, add:0
job start at December 19th 2019, 03:00:00 complete December 19th 2019, 03:04:22, update:13, add:0
job start at December 19th 2019, 06:00:00 complete December 19th 2019, 06:04:40, update:13, add:0
job start at December 19th 2019, 09:00:00 complete December 19th 2019, 09:04:19, update:12, add:0
job start at December 20th 2019, 12:00:00 complete December 20th 2019, 12:04:20, update:12, add:0
job start at December 20th 2019, 03:00:02 complete December 20th 2019, 03:04:20, update:23, add:0
job start at December 20th 2019, 06:00:00 complete December 20th 2019, 06:04:15, update:0, add:0
job start at December 20th 2019, 09:00:00 complete December 20th 2019, 09:04:05, update:0, add:0
job start at December 20th 2019, 12:00:00 complete December 20th 2019, 12:04:13, update:14, add:0
job start at December 20th 2019, 03:00:00 complete December 20th 2019, 03:04:11, update:10, add:0
job start at December 20th 2019, 06:00:00 complete December 20th 2019, 06:04:17, update:73, add:2
job start at December 20th 2019, 09:00:00 complete December 20th 2019, 09:04:17, update:11, add:0
job start at December 21st 2019, 12:00:00 complete December 21st 2019, 12:04:17, update:2, add:0
job start at January 8th 2020, 03:00:02 complete January 8th 2020, 03:04:33, update:966, add:1
job start at January 8th 2020, 09:00:00 complete January 8th 2020, 09:03:57, update:14, add:0
job start at January 12th 2020, 06:00:09 complete January 12th 2020, 06:04:49, update:372, add:1
job start at January 19th 2020, 12:00:00 complete January 19th 2020, 12:04:17, update:143, add:1
job start at January 19th 2020, 03:00:00 complete January 19th 2020, 03:04:10, update:16, add:0
errwhen get new flatError: get db project error
job start at January 28th 2020, 09:00:00 complete January 28th 2020, 09:04:07, update:100, add:2
job start at January 29th 2020, 12:00:00 complete January 29th 2020, 12:04:18, update:2, add:1
